ID_PRODUCT;ID_FLIGHT;DEP_DATE;DEP_TIME;IATA_DEP;IATA_ARR;ARR_DATE;ARR_TIME;PLANE;TOTAL_SEAT_VIP;TOTAL_SEAT_ECO;PRICE_VIP;PRICE-ECO
100000137;YM8516;2019-02-07;15:00:00;CUN;BRU;2019-02-05;15:00:00;AIRBUR A350;24;130;12550;7500
100000138;YM8517;2019-02-08;16:40:00;BRU;MIA;2019-02-06;16:40:00;AIRBUR A350;24;130;11550;7500
100000139;YM8518;2019-02-09;17:10:00;CUN;MIA;2019-02-08;17:10:00;AIRBUS A320;24;120;12550;8000
100000140;YM8519;2019-02-10;20:30:00;BRU;LAX;2019-02-09;20:30:00;AIRBUS A380;48;250;42550;9000
100000141;YM8520;2019-02-11;22:00:00;CDG;BEL;2019-02-10;22:00:00;AIRBUR A350;24;130;12550;8500
100000142;YM8521;2019-02-12;8:00:00;BEL;LIL;2019-02-11;8:00:00;AIRBUR A350;24;130;12550;8500
100000143;YM8522;2019-02-13;8:30:00;LIL;TFS;2019-02-11;8:30:00;AIRBUS A320;24;120;16550;9000
100000144;YM8523;2019-02-14;12:00:00;CUN;BRU;2019-02-12;12:00:00;AIRBUR A350;24;130;12550;8500
100000145;YM8524;2019-02-15;15:00:00;BRU;MIA;2019-02-13;15:00:00;AIRBUS A320;24;120;12550;8000
100000146;YM8525;2019-02-16;16:40:00;CUN;MIA;2019-02-14;16:40:00;AIRBUS A380;48;250;42550;7000
100000147;YM8526;2019-02-17;17:10:00;BRU;LAX;2019-02-15;17:10:00;AIRBUR A350;24;130;12550;8500
100000148;YM8527;2019-02-18;20:30:00;CDG;BEL;2019-02-16;20:30:00;AIRBUR A350;24;130;18550;8500
100000149;YM8528;2019-02-19;22:00:00;BEL;LIL;2019-02-17;22:00:00;AIRBUS A320;24;110;12550;7000
100000150;AZ1010;2019-01-11;8:00:00;AGP;BRU;2019-02-18;8:00:00;AIRBUS A380;48;200;12550;9000
100000151;AZ1011;2019-01-12;8:30:00;BRU;OST;2019-02-19;8:30:00;AIRBUR A350;24;130;12550;9500
100000152;AZ1012;2019-01-13;12:00:00;OST;AGP;2019-01-12;12:00:00;BOEING 737 ;24;110;12550;9500
100000153;AZ1013;2019-01-14;15:00:00;TFS;CDG;2019-01-13;15:00:00;AIRBUR A350;24;130;12550;8500
100000154;AZ1014;2019-01-15;16:40:00;ALC;BRU;2019-01-14;16:40:00;AIRBUS A320;24;120;22550;7000
100000155;AZ1015;2019-01-16;17:10:00;BRU;ALC;2019-01-15;17:10:00;BOEING 787 ;24;110;22550;7400
100000156;AZ1016;2019-01-17;20:30:00;AGP;BRU;2019-01-16;20:30:00;BOEING M50 ;12;90;12550;6200
100000157;AZ1017;2019-01-18;22:00:00;BRU;OST;2019-01-17;22:00:00;BOEING M90 ;12;90;14550;6200
100000158;AZ1018;2019-01-19;8:00:00;OST;AGP;2019-01-18;8:00:00;BOEING N75 ;12;90;12550;6200
100000159;AZ1019;2019-01-20;8:30:00;TFS;CDG;2019-01-19;8:30:00;BOEING A320;24;110;12550;8000
100000160;AZ1020;2019-01-21;12:00:00;ALC;BRU;2019-01-20;12:00:00;BOEING 737 ;24;110;12550;7400
100000161;AZ1021;2019-01-22;15:00:00;BRU;ALC;2019-01-21;15:00:00;AIRBUR A350;24;130;12550;8500
100000162;AZ1022;2019-01-23;16:40:00;AGP;BRU;2019-01-22;16:40:00;AIRBUS A320;24;120;12550;9000
100000163;AZ1023;2019-01-24;17:10:00;BRU;OST;2019-01-23;17:10:00;BOEING 787 ;24;90;15550;6800
100000164;AZ1024;2019-01-25;20:30:00;OST;AGP;2019-01-24;20:30:00;BOEING M50 ;12;90;12550;6400
100000165;AZ1025;2019-01-26;22:00:00;TFS;CDG;2019-01-25;22:00:00;BOEING M90 ;12;90;12550;6400
100000166;AZ1026;2019-01-27;8:00:00;ALC;BRU;2019-01-26;8:00:00;BOEING N75 ;12;90;12550;6000
100000167;YM8506;2019-01-28;8:30:00;CDG;BEL;2019-01-27;8:30:00;BOEING A320;24;120;12550;8000
100000168;YM8507;2019-01-29;12:00:00;BEL;LIL;2019-01-28;12:00:00;BOEING M91 ;24;90;12550;7500
100000169;YM8508;2019-01-30;15:00:00;LIL;TFS;2019-01-29;15:00:00;BOEING N76 ;12;90;12550;7400
100000170;YM8509;2019-01-31;16:40:00;CUN;BRU;2019-01-30;16:40:00;BOEING A321;24;90;17550;7400
100000171;YM8510;2019-02-01;17:10:00;BRU;MIA;2019-01-31;17:10:00;BOEING M92 ;12;90;12550;7400
100000172;YM8511;2019-02-02;20:30:00;CUN;MIA;2019-02-02;20:30:00;AIRBUS A380;24;250;32550;8000
100000173;YM8512;2019-02-03;22:00:00;BRU;LAX;2019-02-03;22:00:00;AIRBUR A350;24;130;12550;8500
100000174;YM8513;2019-02-04;8:00:00;CDG;BEL;2019-02-04;8:00:00;AIRBUS A380;48;250;32550;8000
100000175;YM8514;2019-02-05;8:30:00;BEL;LIL;2019-02-05;8:30:00;AIRBUR A350;24;130;10050;8500
100000176;YM8515;2019-02-06;12:00:00;LIL;TFS;2019-02-05;12:00:00;AIRBUS A380;48;250;12550;8000
100000177;YM8516;2019-02-07;15:00:00;CUN;BRU;2019-02-06;15:00:00;AIRBUR A350;24;130;12550;8500
100000178;YM8517;2019-02-08;16:40:00;BRU;MIA;2019-02-07;16:40:00;AIRBUR A350;24;130;11550;9500
100000179;YM8518;2019-02-09;17:10:00;CUN;MIA;2019-02-09;17:10:00;AIRBUS A320;24;120;12550;9000
100000180;YM8519;2019-02-10;20:30:00;BRU;LAX;2019-02-10;20:30:00;AIRBUS A380;48;250;42550;9000
100000181;YM8520;2019-02-11;22:00:00;CDG;BEL;2019-02-11;22:00:00;AIRBUR A350;24;130;12550;9500
100000182;YM8521;2019-02-12;8:00:00;BEL;LIL;2019-02-12;8:00:00;AIRBUR A350;24;130;12550;9500
100000183;YM8522;2019-02-13;8:30:00;LIL;TFS;2019-02-12;8:30:00;AIRBUS A320;24;120;16550;7000
100000184;YM8523;2019-02-14;12:00:00;CUN;BRU;2019-02-13;12:00:00;AIRBUR A350;24;130;12550;7500
100000185;YM8524;2019-02-15;15:00:00;BRU;MIA;2019-02-14;15:00:00;AIRBUS A320;24;120;12550;7000
100000186;YM8525;2019-02-16;16:40:00;CUN;MIA;2019-02-16;16:40:00;AIRBUS A380;48;250;42550;7000
100000187;YM8526;2019-02-17;17:10:00;BRU;LAX;2019-02-16;17:10:00;AIRBUR A350;24;130;12550;9500
100000188;YM8527;2019-02-18;20:30:00;CDG;BEL;2019-02-18;20:30:00;AIRBUR A350;24;130;18550;9500
100000189;YM8528;2019-02-19;22:00:00;BEL;LIL;2019-02-19;22:00:00;AIRBUS A320;24;110;12550;9000
100000262;AZ1010;2019-04-11;8:00:00;AGP;BRU;2019-02-19;8:00:00;AIRBUS A380;48;200;12550;9000
100000263;AZ1011;2019-04-12;8:30:00;BRU;OST;2019-02-20;8:30:00;AIRBUR A350;24;130;12550;8500
100000264;AZ1012;2019-04-13;12:00:00;OST;AGP;2019-04-11;12:00:00;BOEING 737 ;24;110;12550;6500
100000265;AZ1013;2019-04-14;15:00:00;TFS;CDG;2019-04-12;15:00:00;AIRBUR A350;24;130;12550;7500
100000266;AZ1014;2019-04-15;16:40:00;ALC;BRU;2019-04-13;16:40:00;AIRBUS A320;24;120;22550;7000
100000267;AZ1015;2019-04-16;17:10:00;BRU;ALC;2019-04-14;17:10:00;BOEING 787 ;24;110;22550;5400
100000268;AZ1016;2019-04-17;20:30:00;AGP;BRU;2019-04-15;20:30:00;BOEING M50 ;12;90;12550;3200
100000269;AZ1017;2019-04-18;22:00:00;BRU;OST;2019-04-16;22:00:00;BOEING M90 ;12;90;14550;3200
100000270;AZ1018;2019-04-19;8:00:00;OST;AGP;2019-04-17;8:00:00;BOEING N75 ;12;90;12550;3200
100000271;AZ1019;2019-04-20;8:30:00;TFS;CDG;2019-04-18;8:30:00;BOEING A320;24;110;12550;7000
100000272;AZ1020;2019-04-21;12:00:00;ALC;BRU;2019-04-19;12:00:00;BOEING 737 ;24;110;12550;5400
100000273;AZ1021;2019-04-22;15:00:00;BRU;ALC;2019-04-20;15:00:00;AIRBUR A350;24;130;12550;8500
100000274;AZ1022;2019-04-23;16:40:00;AGP;BRU;2019-04-21;16:40:00;AIRBUS A320;24;120;12550;7000
100000275;AZ1023;2019-04-24;17:10:00;BRU;OST;2019-04-22;17:10:00;BOEING 787 ;24;90;15550;8800
100000276;AZ1024;2019-04-25;20:30:00;OST;AGP;2019-04-23;20:30:00;BOEING M50 ;12;90;12550;7400
100000277;AZ1025;2019-04-26;22:00:00;TFS;CDG;2019-04-24;22:00:00;BOEING M90 ;12;90;12550;9400
100000278;AZ1026;2019-04-27;8:00:00;ALC;BRU;2019-04-25;8:00:00;BOEING N75 ;12;90;12550;6000
100000279;AZ1027;2019-05-10;8:00:00;TFS;MAD;2019-04-26;8:00:00;BOEING A320;24;120;12550;7000
100000280;AZ1027;2019-05-10;12:00:00;MAD;TFS;2019-04-27;12:00:00;BOEING M91 ;24;90;12550;6500
100000281;YM8506;2019-04-28;8:30:00;CDG;BEL;2019-05-10;8:30:00;BOEING A320 ;24;110;16550;950
100000282;YM8507;2019-04-29;12:00:00;BEL;LIL;2019-05-10;12:00:00;BOEING A320 ;24;110;16550;950
100000283;YM8508;2019-04-30;15:00:00;LIL;TFS;2019-04-28;15:00:00;BOEING N76 ;12;90;12550;9400
100000285;YM8510;2019-05-01;17:10:00;BRU;MIA;2019-04-29;17:10:00;BOEING A321;24;90;17550;9400
100000286;YM8511;2019-05-02;20:30:00;CUN;MIA;2019-04-30;20:30:00;BOEING M92 ;12;90;12550;9400
100000287;YM8512;2019-05-03;22:00:00;BRU;LAX;2019-05-01;22:00:00;AIRBUS A380;24;250;32550;7000
100000288;YM8513;2019-05-04;8:00:00;CDG;BEL;2019-05-02;8:00:00;AIRBUR A350;24;130;12550;7500
100000289;YM8514;2019-05-05;8:30:00;BEL;LIL;2019-05-02;8:30:00;AIRBUS A380;48;250;32550;8000
100000290;YM8515;2019-05-06;12:00:00;LIL;TFS;2019-05-04;12:00:00;AIRBUR A350;24;130;10050;8500
100000291;YM8516;2019-05-07;15:00:00;CUN;BRU;2019-05-04;15:00:00;AIRBUS A380;48;250;12550;9000
100000292;YM8517;2019-05-08;16:40:00;BRU;MIA;2019-05-05;16:40:00;AIRBUR A350;24;130;12550;7500
100000293;YM8518;2019-05-09;17:10:00;CUN;MIA;2019-05-06;17:10:00;AIRBUR A350;24;130;11550;7500
100000294;YM8519;2019-05-10;20:30:00;BRU;LAX;2019-05-08;20:30:00;AIRBUS A320;24;120;12550;8000
100000295;YM8520;2019-05-11;22:00:00;CDG;BEL;2019-05-09;22:00:00;AIRBUS A380;48;250;42550;9000
100000296;YM8521;2019-05-12;8:00:00;BEL;LIL;2019-05-10;8:00:00;AIRBUR A350;24;130;12550;8500
100000297;YM8522;2019-05-13;8:30:00;LIL;TFS;2019-05-11;8:30:00;AIRBUR A350;24;130;12550;8500
100000298;YM8523;2019-05-14;12:00:00;CUN;BRU;2019-05-11;12:00:00;AIRBUS A320;24;120;16550;9000
100000299;YM8524;2019-05-15;15:00:00;BRU;MIA;2019-05-12;15:00:00;AIRBUR A350;24;130;12550;8500
100000300;YM8525;2019-05-16;16:40:00;CUN;MIA;2019-05-13;16:40:00;AIRBUS A320;24;120;12550;8000
100000301;YM8526;2019-05-17;17:10:00;BRU;LAX;2019-05-14;17:10:00;AIRBUS A380;48;250;42550;7000
100000302;YM8527;2019-05-18;20:30:00;CDG;BEL;2019-05-15;20:30:00;AIRBUR A350;24;130;12550;8500
100000303;YM8528;2019-05-19;22:00:00;BEL;LIL;2019-05-16;22:00:00;AIRBUR A350;24;130;18550;8500
100000304;AZ1010;2019-04-12;8:00:00;BRU;AGP;2019-05-17;8:00:00;AIRBUS A320;24;110;12550;7000
100000305;AZ1011;2019-04-13;8:30:00;OST;BRU;2019-05-18;8:30:00;AIRBUS A380;48;200;12550;9000
100000306;AZ1012;2019-04-14;12:00:00;AGP;OST;2019-05-19;12:00:00;AIRBUR A350;24;130;12550;9500
100000307;AZ1013;2019-04-15;15:00:00;CDG;TFS;2019-04-12;15:00:00;BOEING 737 ;24;110;12550;9500
100000308;AZ1014;2019-04-16;16:40:00;BRU;ALC;2019-04-13;16:40:00;AIRBUR A350;24;130;12550;8500
100000309;AZ1015;2019-04-17;17:10:00;ALC;BRU;2019-04-14;17:10:00;AIRBUS A320;24;120;22550;7000
100000310;AZ1016;2019-04-18;20:30:00;BRU;AGP;2019-04-15;20:30:00;BOEING 787 ;24;110;22550;7400
100000311;AZ1017;2019-04-19;22:00:00;OST;BRU;2019-04-16;22:00:00;BOEING M50 ;12;90;12550;6200
100000312;AZ1018;2019-04-20;8:00:00;AGP;OST;2019-04-17;8:00:00;BOEING M90 ;12;90;14550;6200
100000313;AZ1019;2019-04-21;8:30:00;CDG;TFS;2019-04-18;8:30:00;BOEING N75 ;12;90;12550;6200
100000314;AZ1020;2019-04-22;12:00:00;BRU;ALC;2019-04-19;12:00:00;BOEING A320;24;110;12550;8000
100000315;AZ1021;2019-04-23;15:00:00;ALC;BRU;2019-04-20;15:00:00;BOEING 737 ;24;110;12550;7400
100000316;AZ1022;2019-04-24;16:40:00;BRU;AGP;2019-04-21;16:40:00;AIRBUR A350;24;130;12550;8500
100000317;AZ1023;2019-04-25;17:10:00;OST;BRU;2019-04-22;17:10:00;AIRBUS A320;24;120;12550;9000
100000318;AZ1024;2019-04-26;20:30:00;AGP;OST;2019-04-23;20:30:00;BOEING 787 ;24;90;15550;6800
100000319;AZ1025;2019-04-27;22:00:00;CDG;TFS;2019-04-24;22:00:00;BOEING M50 ;12;90;12550;6400
100000320;AZ1026;2019-04-28;8:00:00;BRU;ALC;2019-04-25;8:00:00;BOEING M90 ;12;90;12550;6400
100000321;YM8506;2019-04-29;8:30:00;BEL;CDG;2019-04-26;8:30:00;BOEING N75 ;12;90;12550;6000
100000322;YM8507;2019-04-30;12:00:00;LIL;BEL;2019-04-27;12:00:00;BOEING A320;24;120;12550;8000
100000323;YM8509;2019-05-01;16:40:00;BRU;CUN;2019-04-28;16:40:00;BOEING M91 ;24;90;12550;7500
100000324;YM8510;2019-05-02;17:10:00;MIA;BRU;2019-04-29;17:10:00;BOEING N76 ;12;90;12550;7400
100000325;YM8511;2019-05-03;20:30:00;MIA;CUN;2019-04-30;20:30:00;BOEING A321;24;90;17550;7400
100000326;YM8512;2019-05-04;22:00:00;LAX;BRU;2019-05-02;22:00:00;AIRBUS A380;24;250;32550;8000
100000327;YM8513;2019-05-05;8:00:00;BEL;CDG;2019-05-03;8:00:00;AIRBUR A350;24;130;12550;8500
100000328;YM8514;2019-05-06;8:30:00;LIL;BEL;2019-05-04;8:30:00;AIRBUS A380;48;250;32550;8000
100000329;YM8515;2019-05-07;12:00:00;TFS;LIL;2019-05-05;12:00:00;AIRBUR A350;24;130;10050;8500
100000330;YM8516;2019-05-08;15:00:00;BRU;CUN;2019-05-05;15:00:00;AIRBUS A380;48;250;12550;8000
100000331;YM8517;2019-05-09;16:40:00;MIA;BRU;2019-05-06;16:40:00;AIRBUR A350;24;130;12550;8500
100000332;YM8518;2019-05-10;17:10:00;MIA;CUN;2019-05-07;17:10:00;AIRBUR A350;24;130;11550;9500
100000333;YM8519;2019-05-11;20:30:00;LAX;BRU;2019-05-09;20:30:00;AIRBUS A320;24;120;12550;9000
100000334;YM8520;2019-05-12;22:00:00;BEL;CDG;2019-05-10;22:00:00;AIRBUS A380;48;250;42550;9000
100000335;YM8521;2019-05-13;8:00:00;LIL;BEL;2019-05-11;8:00:00;AIRBUR A350;24;130;12550;9500
100000336;YM8522;2019-05-14;8:30:00;TFS;LIL;2019-05-12;8:30:00;AIRBUR A350;24;130;12550;9500
100000337;YM8523;2019-05-15;12:00:00;BRU;CUN;2019-05-12;12:00:00;AIRBUS A320;24;120;16550;7000
100000338;YM8524;2019-05-16;15:00:00;MIA;BRU;2019-05-13;15:00:00;AIRBUR A350;24;130;12550;7500
100000339;YM8525;2019-05-17;16:40:00;MIA;CUN;2019-05-14;16:40:00;AIRBUS A320;24;120;12550;7000
100000340;YM8526;2019-05-18;17:10:00;LAX;BRU;2019-05-16;17:10:00;AIRBUS A380;48;250;42550;7000
100000341;YM8527;2019-05-19;20:30:00;BEL;CDG;2019-05-16;20:30:00;AIRBUR A350;24;130;12550;9500
100000342;YM8528;2019-05-20;22:00:00;LIL;BEL;2019-05-18;22:00:00;AIRBUR A350;24;130;18550;9500
100000343;AZ1010;2019-04-11;8:00:00;AGP;BRU;2019-05-19;8:00:00;AIRBUS A320;24;110;12550;9000
100000344;AZ1011;2019-04-12;8:30:00;BRU;OST;2019-05-19;8:30:00;AIRBUS A380;48;200;12550;9000
100000345;AZ1012;2019-04-13;12:00:00;OST;AGP;2019-05-20;12:00:00;AIRBUR A350;24;130;12550;8500
100000346;AZ1013;2019-04-14;15:00:00;TFS;CDG;2019-07-11;15:00:00;BOEING 737 ;24;110;12550;6500
100000347;AZ1014;2019-04-15;16:40:00;ALC;BRU;2019-07-12;16:40:00;AIRBUR A350;24;130;12550;7500
100000348;AZ1015;2019-04-16;17:10:00;BRU;ALC;2019-07-13;17:10:00;AIRBUS A320;24;120;22550;7000
100000349;AZ1016;2019-04-17;20:30:00;AGP;BRU;2019-07-14;20:30:00;BOEING 787 ;24;110;22550;5400
100000350;AZ1017;2019-04-18;22:00:00;BRU;OST;2019-07-15;22:00:00;BOEING M50 ;12;90;12550;3200
100000351;AZ1018;2019-04-19;8:00:00;OST;AGP;2019-07-16;8:00:00;BOEING M90 ;12;90;14550;3200
100000352;AZ1019;2019-04-20;8:30:00;TFS;CDG;2019-07-17;8:30:00;BOEING N75 ;12;90;12550;3200
100000353;AZ1020;2019-04-21;12:00:00;ALC;BRU;2019-07-18;12:00:00;BOEING A320;24;110;12550;7000
100000354;AZ1021;2019-04-22;15:00:00;BRU;ALC;2019-07-19;15:00:00;BOEING 737 ;24;110;12550;5400
100000355;AZ1022;2019-04-23;16:40:00;AGP;BRU;2019-07-20;16:40:00;AIRBUR A350;24;130;12550;8500
100000356;AZ1023;2019-04-24;17:10:00;BRU;OST;2019-07-21;17:10:00;AIRBUS A320;24;120;12550;7000
100000357;AZ1024;2019-04-25;20:30:00;OST;AGP;2019-07-22;20:30:00;BOEING 787 ;24;90;15550;8800
100000358;AZ1025;2019-04-26;22:00:00;TFS;CDG;2019-07-23;22:00:00;BOEING M50 ;12;90;12550;7400
100000359;AZ1026;2019-04-27;8:00:00;ALC;BRU;2019-07-24;8:00:00;BOEING M90 ;12;90;12550;9400
100000360;AZ1027;2019-05-10;8:00:00;TFS;MAD;2019-07-25;8:00:00;BOEING N75 ;12;90;12550;6000
100000361;AZ1027;2019-05-10;12:00:00;MAD;TFS;2019-07-26;12:00:00;BOEING A320;24;120;12550;7000
100000362;YM8506;2019-04-28;8:30:00;CDG;BEL;2019-07-27;8:30:00;BOEING M91 ;24;90;12550;6500
100000363;YM8507;2019-04-29;12:00:00;BEL;LIL;2019-08-10;12:00:00;BOEING A320 ;24;110;16550;950
100000364;YM8508;2019-04-30;15:00:00;LIL;TFS;2019-08-10;15:00:00;BOEING A320 ;24;110;16550;950
100000366;YM8510;2019-05-01;17:10:00;BRU;MIA;2019-07-28;17:10:00;BOEING N76 ;12;90;12550;9400
100000367;YM8511;2019-05-02;20:30:00;CUN;MIA;2019-07-29;20:30:00;BOEING A321;24;90;17550;9400
100000368;YM8512;2019-05-03;22:00:00;BRU;LAX;2019-07-30;22:00:00;BOEING M92 ;12;90;12550;9400
100000369;YM8513;2019-05-04;8:00:00;CDG;BEL;2019-08-01;8:00:00;AIRBUS A380;24;250;32550;7000
100000370;YM8514;2019-05-05;8:30:00;BEL;LIL;2019-08-02;8:30:00;AIRBUR A350;24;130;12550;7500
100000371;YM8515;2019-05-06;12:00:00;LIL;TFS;2019-08-02;12:00:00;AIRBUS A380;48;250;32550;8000
100000372;YM8516;2019-05-07;15:00:00;CUN;BRU;2019-08-04;15:00:00;AIRBUR A350;24;130;10050;8500
100000373;YM8517;2019-05-08;16:40:00;BRU;MIA;2019-08-04;16:40:00;AIRBUS A380;48;250;12550;9000
100000374;YM8518;2019-05-09;17:10:00;CUN;MIA;2019-08-05;17:10:00;AIRBUR A350;24;130;12550;7500
100000375;YM8519;2019-05-10;20:30:00;BRU;LAX;2019-08-06;20:30:00;AIRBUR A350;24;130;11550;7500
100000376;YM8520;2019-05-11;22:00:00;CDG;BEL;2019-08-08;22:00:00;AIRBUS A320;24;120;12550;8000
100000377;YM8521;2019-05-12;8:00:00;BEL;LIL;2019-08-09;8:00:00;AIRBUS A380;48;250;42550;9000
100000378;YM8522;2019-05-13;8:30:00;LIL;TFS;2019-08-10;8:30:00;AIRBUR A350;24;130;12550;8500
100000379;YM8523;2019-05-14;12:00:00;CUN;BRU;2019-08-11;12:00:00;AIRBUR A350;24;130;12550;8500
100000380;YM8524;2019-05-15;15:00:00;BRU;MIA;2019-08-11;15:00:00;AIRBUS A320;24;120;16550;9000
100000381;YM8525;2019-05-16;16:40:00;CUN;MIA;2019-08-12;16:40:00;AIRBUR A350;24;130;12550;8500
100000382;YM8526;2019-05-17;17:10:00;BRU;LAX;2019-08-13;17:10:00;AIRBUS A320;24;120;12550;8000
100000383;YM8527;2019-05-18;20:30:00;CDG;BEL;2019-08-14;20:30:00;AIRBUS A380;48;250;42550;7000
100000384;YM8528;2019-05-19;22:00:00;BEL;LIL;2019-08-15;22:00:00;AIRBUR A350;24;130;12550;8500
100000385;AZ1010;2019-04-12;8:00:00;BRU;AGP;2019-08-16;8:00:00;AIRBUR A350;24;130;18550;8500
100000386;AZ1011;2019-04-13;8:30:00;OST;BRU;2019-08-17;8:30:00;AIRBUS A320;24;110;12550;7000
100000387;AZ1012;2019-04-14;12:00:00;AGP;OST;2019-08-18;12:00:00;AIRBUS A380;48;200;12550;9000
100000388;AZ1013;2019-04-15;15:00:00;CDG;TFS;2019-08-19;15:00:00;AIRBUR A350;24;130;12550;9500
100000389;AZ1014;2019-04-16;16:40:00;BRU;ALC;2019-07-12;16:40:00;BOEING 737 ;24;110;12550;9500
100000390;AZ1015;2019-04-17;17:10:00;ALC;BRU;2019-07-13;17:10:00;AIRBUR A350;24;130;12550;8500
100000391;AZ1016;2019-04-18;20:30:00;BRU;AGP;2019-07-14;20:30:00;AIRBUS A320;24;120;22550;7000
100000392;AZ1017;2019-04-19;22:00:00;OST;BRU;2019-07-15;22:00:00;BOEING 787 ;24;110;22550;7400
100000393;AZ1018;2019-04-20;8:00:00;AGP;OST;2019-07-16;8:00:00;BOEING M50 ;12;90;12550;6200
100000394;AZ1019;2019-04-21;8:30:00;CDG;TFS;2019-07-17;8:30:00;BOEING M90 ;12;90;14550;6200
100000395;AZ1020;2019-04-22;12:00:00;BRU;ALC;2019-07-18;12:00:00;BOEING N75 ;12;90;12550;6200
100000396;AZ1021;2019-04-23;15:00:00;ALC;BRU;2019-07-19;15:00:00;BOEING A320;24;110;12550;8000
100000397;AZ1022;2019-04-24;16:40:00;BRU;AGP;2019-07-20;16:40:00;BOEING 737 ;24;110;12550;7400
100000398;AZ1023;2019-04-25;17:10:00;OST;BRU;2019-07-21;17:10:00;AIRBUR A350;24;130;12550;8500
100000399;AZ1024;2019-04-26;20:30:00;AGP;OST;2019-07-22;20:30:00;AIRBUS A320;24;120;12550;9000
100000400;AZ1025;2019-04-27;22:00:00;CDG;TFS;2019-07-23;22:00:00;BOEING 787 ;24;90;15550;6800
100000401;AZ1026;2019-04-28;8:00:00;BRU;ALC;2019-07-24;8:00:00;BOEING M50 ;12;90;12550;6400
100000402;YM8506;2019-04-29;8:30:00;BEL;CDG;2019-07-25;8:30:00;BOEING M90 ;12;90;12550;6400
100000403;YM8507;2019-04-30;12:00:00;LIL;BEL;2019-07-26;12:00:00;BOEING N75 ;12;90;12550;6000
100000404;YM8509;2019-05-01;16:40:00;BRU;CUN;2019-07-27;16:40:00;BOEING A320;24;120;12550;8000
